ordinal	index	mode	phase	addr	reg	command
187	46	1	clear	0x0026	0x0004	0x02260004
188	47	0	assert	0x0027	0x0000	0x05270000
189	47	0	clear	0x0027	0x0000	0x01270000
190	47	1	assert	0x0027	0x0000	0x06270000
191	47	1	clear	0x0027	0x0000	0x02270000
192	48	0	assert	0x0028	0x0204	0x05280204
193	48	0	clear	0x0028	0x0204	0x01280204
194	48	1	assert	0x0028	0x0204	0x06280204
195	48	1	clear	0x0028	0x0204	0x02280204
196	49	0	assert	0x0029	0x0403	0x05290403
197	49	0	clear	0x0029	0x0403	0x01290403
198	49	1	assert	0x0029	0x0403	0x06290403
199	49	1	clear	0x0029	0x0403	0x02290403
200	50	0	assert	0x002a	0x0000	0x052a0000
201	50	0	clear	0x002a	0x0000	0x012a0000
202	50	1	assert	0x002a	0x0000	0x062a0000
203	50	1	clear	0x002a	0x0000	0x022a0000
204	51	0	assert	0x002b	0x0000	0x052b0000
205	51	0	clear	0x002b	0x0000	0x012b0000
206	51	1	assert	0x002b	0x0000	0x062b0000
207	51	1	clear	0x002b	0x0000	0x022b0000
208	52	0	assert	0x002c	0x00aa	0x052c00aa
209	52	0	clear	0x002c	0x00aa	0x012c00aa
210	52	1	assert	0x002c	0x00aa	0x062c00aa
211	52	1	clear	0x002c	0x00aa	0x022c00aa
212	53	0	assert	0x002d	0x006e	0x052d006e
213	53	0	clear	0x002d	0x006e	0x012d006e
214	53	1	assert	0x002d	0x006e	0x062d006e
215	53	1	clear	0x002d	0x006e	0x022d006e
216	54	0	assert	0x002e	0x0004	0x052e0004
217	54	0	clear	0x002e	0x0004	0x012e0004
218	54	1	assert	0x002e	0x0004	0x062e0004
219	54	1	clear	0x002e	0x0004	0x022e0004
220	55	0	assert	0x002f	0x0000	0x052f0000
221	55	0	clear	0x002f	0x0000	0x012f0000
222	55	1	assert	0x002f	0x0000	0x062f0000
223	55	1	clear	0x002f	0x0000	0x022f0000
224	56	0	assert	0x0030	0x0204	0x05300204
225	56	0	clear	0x0030	0x0204	0x01300204
226	56	1	assert	0x0030	0x0204	0x06300204
227	56	1	clear	0x0030	0x0204	0x02300204
228	57	0	assert	0x0031	0x0403	0x05310403
229	57	0	clear	0x0031	0x0403	0x01310403
230	57	1	assert	0x0031	0x0403	0x06310403
231	57	1	clear	0x0031	0x0403	0x02310403
232	58	0	assert	0x0032	0x0000	0x05320000
233	58	0	clear	0x0032	0x0000	0x01320000
234	58	1	assert	0x0032	0x0000	0x06320000
235	58	1	clear	0x0032	0x0000	0x02320000
236	59	0	assert	0x0033	0x0000	0x05330000
237	59	0	clear	0x0033	0x0000	0x01330000
238	59	1	assert	0x0033	0x0000	0x06330000
239	59	1	clear	0x0033	0x0000	0x02330000
240	60	0	assert	0x0034	0x0062	0x05340062
241	60	0	clear	0x0034	0x0062	0x01340062
242	60	1	assert	0x0034	0x0062	0x06340062
243	60	1	clear	0x0034	0x0062	0x02340062
244	61	0	assert	0x0035	0x007e	0x0535007e
245	61	0	clear	0x0035	0x007e	0x0135007e
246	61	1	assert	0x0035	0x007e	0x0635007e
247	61	1	clear	0x0035	0x007e	0x0235007e
248	62	0	assert	0x0036	0x0004	0x05360004
249	62	0	clear	0x0036	0x0004	0x01360004
250	62	1	assert	0x0036	0x0004	0x06360004
251	62	1	clear	0x0036	0x0004	0x02360004
252	63	0	assert	0x0037	0x0000	0x05370000
253	63	0	clear	0x0037	0x0000	0x01370000
254	63	1	assert	0x0037	0x0000	0x06370000
255	63	1	clear	0x0037	0x0000	0x02370000
256	64	0	assert	0x0038	0x0204	0x05380204
257	64	0	clear	0x0038	0x0204	0x01380204
258	64	1	assert	0x0038	0x0204	0x06380204
259	64	1	clear	0x0038	0x0204	0x02380204
260	65	0	assert	0x0039	0x0403	0x05390403
261	65	0	clear	0x0039	0x0403	0x01390403
262	65	1	assert	0x0039	0x0403	0x06390403
263	65	1	clear	0x0039	0x0403	0x02390403
